Accession	Source Database	Name	Tax ID	Tax Name	Length
A0A1C5R1D9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	165185	uncultured Eubacterium sp.	581
A0A1C5R365	unreviewed	Ammonium transporter AmtB-like domain-containing protein	259315	uncultured Faecalibacterium sp.	581
A0A1C5R381	unreviewed	Ammonium transporter AmtB-like domain-containing protein	165186	uncultured Ruminococcus sp.	556
A0A1C5RAN1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	765821	uncultured Blautia sp.	575
A0A1C5S8B5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	165186	uncultured Ruminococcus sp.	570
A0A1C5SQE8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	165186	uncultured Ruminococcus sp.	570
A0A1C5SVL0	unreviewed	Ammonium transporter AmtB-like domain-containing protein	765821	uncultured Blautia sp.	576
A0A1C5T8Y6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	765821	uncultured Blautia sp.	574
A0A1C5TF49	unreviewed	Ammonium transporter AmtB-like domain-containing protein	765821	uncultured Blautia sp.	574
A0A1C5U2K1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	165186	uncultured Ruminococcus sp.	581
A0A1C5UAP1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	765821	uncultured Blautia sp.	574
A0A1C5UEH7	unreviewed	Ammonium transporter AmtB-like domain-containing protein	59620	uncultured Clostridium sp.	583
A0A1C5UU75	unreviewed	Ammonium transporter AmtB-like domain-containing protein	59620	uncultured Clostridium sp.	582
A0A1C5VCM0	unreviewed	Ammonium transporter AmtB-like domain-containing protein	765821	uncultured Blautia sp.	574
A0A1C5VT92	unreviewed	Ammonium transporter AmtB-like domain-containing protein	59620	uncultured Clostridium sp.	571
A0A1C5WY82	unreviewed	Ammonium transporter AmtB-like domain-containing protein	458253	uncultured Coprococcus sp.	597
A0A1C5XWN4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	59620	uncultured Clostridium sp.	567
A0A1C5Y526	unreviewed	Ammonium transporter AmtB-like domain-containing protein	765821	uncultured Blautia sp.	582
A0A1C5YFR7	unreviewed	Ammonium transporter AmtB-like domain-containing protein	59620	uncultured Clostridium sp.	581
A0A1C5YH18	unreviewed	Ammonium transporter AmtB-like domain-containing protein	165186	uncultured Ruminococcus sp.	553
A0A1C5Z331	unreviewed	Ammonium transporter AmtB-like domain-containing protein	165186	uncultured Ruminococcus sp.	580
A0A1C5Z9P9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	59620	uncultured Clostridium sp.	583
A0A1C5ZTV2	unreviewed	Ammonium transporter AmtB-like domain-containing protein	165186	uncultured Ruminococcus sp.	556
A0A1C6B393	unreviewed	Ammonium transporter AmtB-like domain-containing protein	59620	uncultured Clostridium sp.	597
A0A1C6B4K0	unreviewed	Ammonium transporter AmtB-like domain-containing protein	165186	uncultured Ruminococcus sp.	590
A0A1C6BQA1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1193532	uncultured Butyricicoccus sp.	579
A0A1C6BXH2	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1193532	uncultured Butyricicoccus sp.	578
A0A1C6CHG3	unreviewed	Ammonium transporter AmtB-like domain-containing protein	446043	uncultured Lachnospira sp.	595
A0A1C6CSF9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	59620	uncultured Clostridium sp.	332
A0A1C6CXT8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	165186	uncultured Ruminococcus sp.	575
A0A1C6D1W9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	165186	uncultured Ruminococcus sp.	556
A0A1C6DAP7	unreviewed	Ammonium transporter AmtB-like domain-containing protein	165186	uncultured Ruminococcus sp.	590
A0A1C6DLP9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	165186	uncultured Ruminococcus sp.	581
A0A1C6DWH2	unreviewed	Ammonium transporter AmtB-like domain-containing protein	165185	uncultured Eubacterium sp.	584
A0A1C6E048	unreviewed	Ammonium transporter AmtB-like domain-containing protein	165186	uncultured Ruminococcus sp.	595
A0A1C6E379	unreviewed	Ammonium transporter AmtB-like domain-containing protein	165185	uncultured Eubacterium sp.	580
A0A1C6F4A8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	165186	uncultured Ruminococcus sp.	553
A0A1C6FKD5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	59620	uncultured Clostridium sp.	571
A0A1C6G7R3	unreviewed	Ammonium transporter AmtB-like domain-containing protein	59620	uncultured Clostridium sp.	584
A0A1C6G8E0	unreviewed	Ammonium transporter AmtB-like domain-containing protein	165186	uncultured Ruminococcus sp.	582
A0A1C6G8R0	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1193534	uncultured Flavonifractor sp.	580
A0A1C6GHV1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	165186	uncultured Ruminococcus sp.	566
A0A1C6GPW7	unreviewed	Ammonium transporter AmtB-like domain-containing protein	165185	uncultured Eubacterium sp.	557
A0A1C6H3W0	unreviewed	Ammonium transporter AmtB-like domain-containing protein	165185	uncultured Eubacterium sp.	556
A0A1C6HLR1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	165186	uncultured Ruminococcus sp.	581
A0A1C6HNA9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	765821	uncultured Blautia sp.	575
A0A1C6HP51	unreviewed	Ammonium transporter AmtB-like domain-containing protein	59620	uncultured Clostridium sp.	574
A0A1C6JHM1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	876091	uncultured Oscillibacter sp.	574
A0A1C6K3R3	unreviewed	Ammonium transporter AmtB-like domain-containing protein	59620	uncultured Clostridium sp.	575
A0A1C6KIH8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	59620	uncultured Clostridium sp.	567
A0A1C7GTZ0	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1834198	Hungateiclostridiaceae bacterium KB18	584
A0A1C7HSA7	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1834207	Erysipelotrichaceae bacterium I46	570
A0A1C7IDV8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1796616	Blautia pseudococcoides	583
A0A1D3TYQ0	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1619234	Anaerobium acetethylicum	570
A0A1D9NY31	unreviewed	Ammonium transporter AmtB-like domain-containing protein	185008	Butyrivibrio hungatei	589
A0A1F8V8B8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1797683	Clostridiales bacterium GWF2_38_85	568
A0A1F9FQX1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1797848	Deltaproteobacteria bacterium RBG_16_71_12	123
A0A1F9ZPG7	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1798011	Firmicutes bacterium GWF2_51_9	678
A0A1G4QLQ0	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1520822	Lachnospiraceae bacterium C10	619
A0A1G4SPK4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1520819	Ruminococcaceae bacterium YRB3002	590
A0A1G4VHU5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1520828	Lachnospiraceae bacterium YSD2013	572
A0A1G5B658	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1520826	Lachnospiraceae bacterium XBB2008	589
A0A1G5BLA9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1520805	Blautia sp. SF-50	574
A0A1G5DDJ5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1520825	Lachnospiraceae bacterium XPB1003	583
A0A1G5DER5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	185008	Butyrivibrio hungatei	589
A0A1G5EK45	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1520808	Butyrivibrio sp. INlla14	589
A0A1G5FBQ7	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1520804	Pseudobutyrivibrio sp. AR14	581
A0A1G5RVB0	unreviewed	Ammonium transporter AmtB-like domain-containing protein	185007	Pseudobutyrivibrio xylanivorans	581
A0A1G5WAS9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1200747	Lachnospiraceae bacterium G11	602
A0A1G5WH50	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1520806	Butyrivibrio sp. INlla18	589
A0A1G6AA59	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1520802	Pseudobutyrivibrio sp. YE44	581
A0A1G6AEH9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1732	Eubacterium oxidoreducens	588
A0A1G6BHE0	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1520817	Ruminococcaceae bacterium FB2012	577
A0A1G6C6K5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1520807	Butyrivibrio sp. INlla16	589
A0A1G6KUG1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	40841	Succiniclasticum ruminis	601
A0A1G7RHP6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	261291	Halorubrum xinjiangense	556
A0A1G8BB52	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1855344	Pseudobutyrivibrio sp. 49	581
A0A1G8V2D8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1200749	Lachnospiraceae bacterium G41	586
A0A1G8VFZ5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	890420	Halovenus aranensis	560
A0A1G9BC39	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1095776	Natronorubrum texcoconense	582
A0A1G9IKK4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1798184	Sarcina sp. DSM 11001	591
A0A1G9THY2	unreviewed	Ammonium transporter AmtB-like domain-containing protein	28052	Lachnospira pectinoschiza	589
A0A1G9XUV1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	258515	Acetanaerobacterium elongatum	566
A0A1H0YSA0	unreviewed	Ammonium transporter AmtB-like domain-containing protein	174587	Carnobacterium viridans	589
A0A1H1HR70	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1095778	Natronobacterium texcoconense	583
A0A1H2TZK5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1630	Kandleria vitulina	559
A0A1H2V0V3	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1855375	Lachnospiraceae bacterium KHCPX20	619
A0A1H3DIU9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1520816	Ruminococcaceae bacterium YAD3003	589
A0A1H3HZ52	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1122142	Lachnobacterium bovis DSM 14045	577
A0A1H3LXY5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1048396	Halopenitus persicus	555
A0A1H3Z0R0	unreviewed	Ammonium transporter AmtB-like domain-containing protein	555874	Haloplanus vescus	557
A0A1H3ZKY2	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1520801	Pseudobutyrivibrio sp. ACV-2	581
A0A1H4EZX0	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1855342	Oribacterium sp. KHPX15	589
A0A1H5WFC4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	28051	Lachnospira multipara	589
A0A1H5YYF4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1520810	Butyrivibrio sp. Su6	589
A0A1H6FT59	unreviewed	Ammonium transporter AmtB-like domain-containing protein	640943	Natronorubrum sediminis	603
A0A1H6INP9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1267564	Halopenitus malekzadehii	555
A0A1H6J2A5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1265	Ruminococcus flavefaciens	602
A0A1H6R9C6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1073996	Halohasta litchfieldiae	570
A0A1H6W8Z9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1520821	Lachnospiraceae bacterium A10	589
A0A1H7IQT2	unreviewed	Ammonium transporter AmtB-like domain-containing protein	46206	Pseudobutyrivibrio ruminis	581
A0A1H7M3E0	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1761780	Butyrivibrio sp. ob235	589
A0A1H7NPU9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1264	Ruminococcus albus	606
A0A1H8S6J8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	872970	Amphibacillus marinus	539
A0A1H9A9D8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1520809	Butyrivibrio sp. TB	591
A0A1H9AGY6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1200721	Lachnospiraceae bacterium RM5	597
A0A1H9GAG5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1520823	Lachnospiraceae bacterium NE2001	588
A0A1H9J573	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1186196	Natrinema salaciae	577
A0A1H9JDC6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	163	Treponema bryantii	556
A0A1H9P153	unreviewed	Ammonium transporter AmtB-like domain-containing protein	831	Butyrivibrio fibrisolvens	591
A0A1H9P3M9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	140626	Lachnobacterium bovis	577
A0A1H9Z210	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1520803	Pseudobutyrivibrio sp. C4	581
A0A1I0G858	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1526	[Clostridium] aminophilum	589
A0A1I0H5B4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	392421	Natrinema hispanicum	551
A0A1I0HDV9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1531	Enterocloster clostridioformis	565
A0A1I0IK57	unreviewed	Ammonium transporter AmtB-like domain-containing protein	460384	Enterocloster lavalensis	572
A0A1I0PYA2	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1855400	Ruminococcaceae bacterium KH2T8	594
A0A1I0QEC7	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1202768	Natrinema salifodinae	554
A0A1I0ZNG3	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1120918	Acetitomaculum ruminis DSM 5522	589
A0A1I1D0R6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1264	Ruminococcus albus	606
A0A1I1HT54	unreviewed	Ammonium transporter AmtB-like domain-containing protein	148448	Halobiforma haloterrestris	552
A0A1I1MY45	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1520812	Butyrivibrio sp. YAB3001	589
A0A1I2AKI3	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1123323	Succiniclasticum ruminis DSM 9236	601
A0A1I2NIB4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1792306	Lachnospiraceae bacterium C7	586
A0A1I2TGT7	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1855343	Oribacterium sp. WCC10	589
A0A1I3B7Y0	unreviewed	Ammonium transporter AmtB-like domain-containing protein	387340	Halorubrum aquaticum	562
A0A1I3FXW0	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1798186	Pseudobutyrivibrio sp. OR37	581
A0A1I3I9Y5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	163	Treponema bryantii	557
A0A1I3M286	unreviewed	Ammonium transporter AmtB-like domain-containing protein	44930	Natronobacterium gregoryi	573
A0A1I4EUS9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1855374	Lachnospiraceae bacterium KH1T2	590
A0A1I4ZMN5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1798185	Pseudobutyrivibrio sp. UC1225	581
A0A1I5FF58	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1855302	Pseudobutyrivibrio sp. JW11	581
A0A1I5RRK2	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1855299	Oscillibacter sp. PC13	568
A0A1I5SDH6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	43305	Butyrivibrio proteoclasticus	589
A0A1I5Y4A3	unreviewed	Ammonium transporter AmtB-like domain-containing protein	82801	Desemzia incerta	587
A0A1I6FK65	unreviewed	Ammonium transporter AmtB-like domain-containing protein	35743	Halorubrum sodomense	575
A0A1I6JQR0	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1798168	Pseudobutyrivibrio sp. NOR37	581
A0A1I6KGS1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1526	[Clostridium] aminophilum	589
A0A1I6PBV6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	619731	Halostagnicola kamekurae	587
A0A1I6YNS1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1520820	Lachnospiraceae bacterium XBD2001	589
A0A1I7GLL6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1761781	Clostridium sp. DSM 8431	548
A0A1I7IQQ2	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1855323	Butyrivibrio sp. M55	589
A0A1I7ITC5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1520811	Butyrivibrio sp. INlla21	589
A0A1J4LTC1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1869245	Natrialba sp. SSL1	587
A0A1K1NCM8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1265	Ruminococcus flavefaciens	602
A0A1K1PQ76	unreviewed	Ammonium transporter AmtB-like domain-containing protein	244362	Ruminococcus sp. YE71	603
A0A1L5KYB6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	77133	uncultured bacterium	315
A0A1L8N3F6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1908540	Treponema sp. CETP13	570
A0A1L8PEC7	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1798803	Alkalibacterium sp. 20	580
A0A1L8STM4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	319970	Enterococcus devriesei	591
A0A1M2Z9L9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1895747	Clostridiales bacterium 43-6	564
A0A1M4ZJQ1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1123243	Schwartzia succinivorans DSM 10502	583
A0A1M5QDY1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	43928	Halobaculum gomorrense	564
A0A1M6AMI5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	659425	Thermoclostridium caenicola	583
A0A1M6CHL9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1123012	Pseudobutyrivibrio xylanivorans DSM 14809	581
A0A1M6FDK6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1121131	Butyrivibrio fibrisolvens DSM 3071	591
A0A1M7LS20	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1265	Ruminococcus flavefaciens	602
A0A1M7N5X0	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1120996	Anaerosporobacter mobilis DSM 15930	581
A0A1M7SHA9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1121132	Butyrivibrio hungatei DSM 14810	589
A0A1N6HUP0	unreviewed	Ammonium transporter AmtB-like domain-containing protein	28230	Carnobacterium alterfunditum	585
A0A1N7BYW4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	553468	Haladaptatus litoreus	570
